日時,工場,機械名,機械番号,追加量L,回収量kg,回収量L,回転数,回収率%,記録者
2025-09-03T15:40:00.000Z,亀山工場,TOSEI HRD-301S,1,243,13.8,17.8,4,7.3,鈴木
2025-09-08T14:30:00.000Z,亀山工場,TOSEI HRD-301S,1,0,12.4,16,4,,田中
2025-09-11T16:20:00.000Z,亀山工場,TOSEI HRD-301S,1,0,15.7,20.2,5,,佐藤
2025-09-15T13:00:00.000Z,亀山工場,TOSEI HRD-301S,1,196,13.4,17.2,4,8.7,佐藤
2025-09-20T15:50:00.000Z,亀山工場,TOSEI HRD-301S,1,0,12.4,16,4,,田中
2025-09-24T16:20:00.000Z,亀山工場,TOSEI HRD-301S,1,0,15.1,19.4,4,,佐藤
2025-09-03T14:00:00.000Z,亀山工場,TOSEI HRD-301S,2,0,10.9,14.1,4,,田中
2025-09-07T11:00:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.3,12,3,,鈴木
2025-09-12T10:00:00.000Z,亀山工場,TOSEI HRD-301S,2,0,11.3,14.6,4,,佐藤
2025-09-15T12:30:00.000Z,亀山工場,TOSEI HRD-301S,2,0,11.3,14.5,4,,佐藤
2025-09-19T14:20:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.4,12.1,4,,鈴木
2025-09-24T15:20:00.000Z,亀山工場,TOSEI HRD-301S,2,0,11.2,14.4,3,,鈴木
2025-09-04T12:30:00.000Z,亀山工場,TOSEI HRD-301S,3,0,7.4,9.6,4,,鈴木
2025-09-07T10:30:00.000Z,亀山工場,TOSEI HRD-301S,3,0,8.5,11,4,,田中
2025-09-11T11:00:00.000Z,亀山工場,TOSEI HRD-301S,3,0,8.1,10.4,3,,鈴木
2025-09-15T14:20:00.000Z,亀山工場,TOSEI HRD-301S,3,0,9.5,12.3,4,,佐藤
2025-09-20T12:30:00.000Z,亀山工場,TOSEI HRD-301S,3,0,9.2,11.9,4,,佐藤
2025-09-24T13:50:00.000Z,亀山工場,TOSEI HRD-301S,3,0,8.1,10.4,3,,鈴木
2025-09-03T15:40:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,7,9.1,2,,佐藤
2025-09-07T10:40:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.5,8.4,2,,鈴木
2025-09-11T10:10:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,5.7,7.4,2,,佐藤
2025-09-16T10:50:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.8,8.8,3,,佐藤
2025-09-20T11:50:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.5,8.4,3,,鈴木
2025-09-23T13:40:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.4,8.3,3,,田中
2025-09-03T12:50:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.6,5.9,2,,鈴木
2025-09-08T14:20:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,5.4,7,2,,鈴木
2025-09-12T15:50:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,5.6,7.3,3,,鈴木
2025-09-15T16:50:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.3,5.6,2,,佐藤
2025-09-20T09:30:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.5,5.8,2,,鈴木
2025-09-23T12:50:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,5.8,7.5,2,,田中
2025-09-03T12:00:00.000Z,亀山工場,QDF-151R,1,0,2.3,3,1,,田中
2025-09-08T14:40:00.000Z,亀山工場,QDF-151R,1,0,2,2.6,2,,鈴木
2025-09-12T15:20:00.000Z,亀山工場,QDF-151R,1,0,2.3,3,1,,鈴木
2025-09-15T10:00:00.000Z,亀山工場,QDF-151R,1,0,2.5,3.3,1,,田中
2025-09-19T12:30:00.000Z,亀山工場,QDF-151R,1,0,2.1,2.7,1,,鈴木
2025-09-23T13:00:00.000Z,亀山工場,QDF-151R,1,0,2.4,3.2,1,,田中
2025-10-04T13:40:00.000Z,亀山工場,TOSEI HRD-301S,1,248,14.1,18.2,4,7.3,鈴木
2025-10-08T16:30:00.000Z,亀山工場,TOSEI HRD-301S,1,0,15.2,19.5,5,,鈴木
2025-10-12T16:50:00.000Z,亀山工場,TOSEI HRD-301S,1,0,13.4,17.3,4,,田中
2025-10-15T10:00:00.000Z,亀山工場,TOSEI HRD-301S,1,198,13,16.7,5,8.4,鈴木
2025-10-19T15:50:00.000Z,亀山工場,TOSEI HRD-301S,1,0,11.8,15.2,4,,鈴木
2025-10-24T13:20:00.000Z,亀山工場,TOSEI HRD-301S,1,0,13.9,17.9,5,,佐藤
2025-10-03T12:50:00.000Z,亀山工場,TOSEI HRD-301S,2,0,8.6,11.1,3,,田中
2025-10-07T16:30:00.000Z,亀山工場,TOSEI HRD-301S,2,0,8.8,11.4,4,,佐藤
2025-10-11T09:40:00.000Z,亀山工場,TOSEI HRD-301S,2,0,11.5,14.8,4,,田中
2025-10-15T13:20:00.000Z,亀山工場,TOSEI HRD-301S,2,0,10.9,14.1,4,,佐藤
2025-10-19T09:20:00.000Z,亀山工場,TOSEI HRD-301S,2,0,10.2,13.1,3,,鈴木
2025-10-23T12:00:00.000Z,亀山工場,TOSEI HRD-301S,2,0,10.4,13.4,4,,佐藤
2025-10-03T16:30:00.000Z,亀山工場,TOSEI HRD-301S,3,0,7.2,9.3,3,,佐藤
2025-10-08T16:00:00.000Z,亀山工場,TOSEI HRD-301S,3,0,8.7,11.2,4,,鈴木
2025-10-11T16:00:00.000Z,亀山工場,TOSEI HRD-301S,3,0,8.2,10.6,3,,鈴木
2025-10-16T11:20:00.000Z,亀山工場,TOSEI HRD-301S,3,0,7.6,9.8,3,,佐藤
2025-10-20T15:40:00.000Z,亀山工場,TOSEI HRD-301S,3,0,7.2,9.3,3,,佐藤
2025-10-23T10:20:00.000Z,亀山工場,TOSEI HRD-301S,3,0,7.9,10.2,3,,佐藤
2025-10-03T13:20:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.1,7.9,3,,鈴木
2025-10-08T12:20:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,7.2,9.3,2,,佐藤
2025-10-11T13:10:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,5.8,7.5,3,,田中
2025-10-16T15:40:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,5.9,7.6,2,,田中
2025-10-19T12:30:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,7,9,2,,鈴木
2025-10-23T15:50:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.1,7.9,3,,佐藤
2025-10-03T16:20:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,5.6,7.2,2,,田中
2025-10-07T15:40:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,5.3,6.8,3,,佐藤
2025-10-12T14:00:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,5,6.5,2,,佐藤
2025-10-16T11:30:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.5,5.8,2,,鈴木
2025-10-20T16:20:00.000Z,亀山工場,YAMAMOTO VR-221D,2,0,4.8,6.2,2,,佐藤
