日時,工場,機械名,機械番号,追加量L,回収量kg,回収量L,回転数,回収率%,記録者
2025-09-04T08:40:00.000Z,亀山工場,TOSEI HRD-301S,1,228,14,18,4,7.8,鈴木
2025-09-08T16:20:00.000Z,亀山工場,TOSEI HRD-301S,1,0,14.1,18.1,4,,鈴木
2025-09-11T08:20:00.000Z,亀山工場,TOSEI HRD-301S,1,0,14.4,18.5,4,,高橋
2025-09-15T09:20:00.000Z,亀山工場,TOSEI HRD-301S,1,205,12.4,16,5,7.8,佐藤
2025-09-19T09:10:00.000Z,亀山工場,TOSEI HRD-301S,1,0,11.3,14.6,4,,高橋
2025-09-24T13:00:00.000Z,亀山工場,TOSEI HRD-301S,1,0,10.9,14,4,,田中
2025-09-04T13:00:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.8,12.6,3,,山本
2025-09-07T12:00:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.9,12.8,3,,田中
2025-09-11T13:40:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.2,11.8,4,,高橋
2025-09-15T13:50:00.000Z,亀山工場,TOSEI HRD-301S,2,0,9.6,12.4,3,,山本
2025-09-20T11:30:00.000Z,亀山工場,TOSEI HRD-301S,2,0,8.5,10.9,3,,山本
2025-09-23T09:30:00.000Z,亀山工場,TOSEI HRD-301S,2,0,8.1,10.4,4,,鈴木
2025-09-03T10:00:00.000Z,亀山工場,TOSEI HRD-301S,3,0,7.7,9.9,4,,山本
2025-09-08T12:00:00.000Z,亀山工場,TOSEI HRD-301S,3,0,8.3,10.7,4,,佐藤
2025-09-11T10:00:00.000Z,亀山工場,TOSEI HRD-301S,3,0,8.3,10.7,3,,鈴木
2025-09-16T09:50:00.000Z,亀山工場,TOSEI HRD-301S,3,0,7.4,9.5,4,,山本
2025-09-20T12:50:00.000Z,亀山工場,TOSEI HRD-301S,3,0,8.7,11.2,4,,鈴木
2025-09-23T09:50:00.000Z,亀山工場,TOSEI HRD-301S,3,0,9.1,11.7,3,,佐藤
2025-09-03T10:00:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.5,8.4,2,,鈴木
2025-09-08T10:00:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6,7.7,3,,鈴木
2025-09-11T08:20:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,5.8,7.5,3,,佐藤
2025-09-16T10:00:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.5,8.4,2,,高橋
2025-09-20T11:50:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,7.3,9.4,3,,鈴木
2025-09-24T12:30:00.000Z,亀山工場,YAMAMOTO VR-221D,1,0,6.8,8.8,3,,山本
